                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.5029,                 6.8558,                  1.854,                0.54179,                0.38713,                 0.3162,                0.18618,                 1.3304,                 4.3572,                 1.7381,                 0.0856,                 0.0016,                 0.0016
                      1,                 1.5721,                 3.4178,                 1.8929,                0.69112,                 0.4597,                0.43784,                0.26127,                 1.2798,                 2.6089,                 1.6044,               0.070267,              0.0032673,              0.0032673
                      2,                    1.5,                 2.7984,                 1.6858,                0.64713,                0.46536,                0.45232,                0.26748,                 1.3943,                 2.4003,                 1.6314,               0.054901,               0.004901,               0.004901
                      3,                 1.4452,                 2.5746,                 1.6056,                0.91681,                0.35758,                0.49348,                0.29593,                 1.3271,                 3.1237,                 1.6216,               0.039501,               0.006501,               0.006501
                      4,                 1.5323,                 2.7167,                 1.7132,                 0.4742,                0.15182,                0.15798,                0.06318,                 2.1443,                 4.4602,                 2.6722,               0.024067,              0.0080674,              0.0080674
                      5,                 1.4892,                 2.8613,                 1.6437,                0.60133,                 0.1979,                0.22256,                0.13852,                 1.6543,                 4.0187,                 2.0629,               0.009505,               0.009505,               0.009505
                      6,                  1.488,                 2.7013,                 1.6468,                0.73214,                0.26034,                0.34118,                0.16613,                 1.9528,                 3.9402,                 2.2954,               0.009505,               0.009505,               0.009505
                      7,                  1.525,                 2.6438,                  1.672,                0.64926,                0.22627,                 0.2661,                0.11074,                 2.1282,                 4.4188,                 2.4913,               0.009406,               0.009406,               0.009406
                      8,                 1.5009,                 2.7109,                 1.6537,                0.47046,                0.19475,                0.19179,                0.09385,                 2.1463,                 4.5342,                 2.4622,               0.009307,               0.009307,               0.009307
                      9,                 1.5893,                 2.7159,                 1.7136,                0.53167,                0.37244,                0.32217,                0.13207,                 2.0032,                 4.3878,                 2.3159,               0.009208,               0.009208,               0.009208
                     10,                 1.5642,                 2.6039,                 1.6899,                0.70408,                0.29223,                0.29975,                0.15038,                 1.9588,                 3.2611,                 2.1107,               0.009109,               0.009109,               0.009109
                     11,                 1.5858,                 2.6592,                  1.688,                 0.5854,                0.42407,                0.35307,                 0.1712,                 1.7179,                 3.6249,                 1.9848,                0.00901,                0.00901,                0.00901
                     12,                 1.5937,                 2.7325,                 1.8134,                0.51707,                0.23645,                 0.2309,                0.13413,                 1.9414,                   3.88,                 2.2232,               0.008911,               0.008911,               0.008911
                     13,                  1.517,                 2.5619,                  1.662,                0.67215,                0.31417,                0.34882,                0.19212,                 1.6871,                  3.044,                 2.0789,               0.008812,               0.008812,               0.008812
                     14,                 1.5568,                 2.4592,                 1.6874,                0.63078,                0.43424,                0.39763,                0.21632,                 1.6378,                 3.3386,                 1.9619,               0.008713,               0.008713,               0.008713
                     15,                 1.5521,                 2.5517,                 1.7106,                0.69427,                0.39775,                0.39562,                 0.2054,                 1.6875,                 2.8181,                  1.937,               0.008614,               0.008614,               0.008614
                     16,                 1.5021,                 2.4869,                 1.6275,                0.37765,                0.26582,                0.30676,                0.16509,                 1.8095,                 3.2403,                 2.0602,               0.008515,               0.008515,               0.008515
                     17,                 1.5693,                 2.6281,                 1.7089,                0.57966,                0.33525,                0.34333,                0.16483,                 1.8431,                 3.1585,                 2.1244,               0.008416,               0.008416,               0.008416
                     18,                 1.4755,                 2.4752,                 1.6459,                0.77642,                0.42194,                0.44101,                0.26034,                 1.5716,                 2.8851,                 1.8673,               0.008317,               0.008317,               0.008317
                     19,                 1.5277,                 2.4871,                 1.6898,                0.72823,                0.47782,                0.44277,                0.25263,                 1.6487,                 2.5371,                  1.903,               0.008218,               0.008218,               0.008218
                     20,                 1.4427,                 2.3633,                 1.6508,                0.72059,                 0.4468,                0.46472,                0.25058,                 1.5864,                 2.5973,                 1.8658,               0.008119,               0.008119,               0.008119
                     21,                 1.4603,                 2.3329,                 1.6467,                0.63661,                 0.4562,                0.41691,                0.24522,                 1.5452,                 2.6105,                 1.8224,                0.00802,                0.00802,                0.00802
                     22,                 1.3842,                 2.2977,                 1.5857,                0.55624,                0.22624,                0.21212,                 0.0999,                 2.1649,                 3.7567,                 2.4525,               0.007921,               0.007921,               0.007921
                     23,                 1.4426,                 2.2439,                 1.6412,                0.94211,                0.21309,                0.31462,                 0.1667,                 2.0756,                 3.4767,                 2.2833,               0.007822,               0.007822,               0.007822
                     24,                 1.4557,                 2.2112,                 1.5953,                 0.6855,                0.37467,                0.42153,                0.24953,                 1.7115,                 2.5213,                 1.9256,               0.007723,               0.007723,               0.007723
                     25,                 1.4312,                 2.1714,                 1.6361,                0.70328,                0.40457,                0.40092,                0.23749,                 1.7425,                 2.8227,                 1.9626,               0.007624,               0.007624,               0.007624
                     26,                 1.3776,                 2.0838,                 1.5448,                0.61558,                0.39778,                 0.4038,                0.23315,                 1.6737,                 2.5913,                 1.9131,               0.007525,               0.007525,               0.007525
                     27,                 1.3478,                 2.0675,                 1.5447,                0.88238,                0.33793,                0.41719,                0.25625,                 1.6878,                 2.8272,                 1.9486,               0.007426,               0.007426,               0.007426
                     28,                 1.4137,                 2.0766,                 1.6202,                0.88129,                0.39245,                0.50998,                0.30292,                 1.6446,                 2.3476,                 1.8774,               0.007327,               0.007327,               0.007327
                     29,                 1.3928,                 1.9979,                 1.5918,                0.31884,                0.44221,                0.41489,                 0.2515,                 1.6279,                 2.5994,                 1.8142,               0.007228,               0.007228,               0.007228
                     30,                 1.3998,                 2.1481,                 1.6056,                0.47618,                   0.35,                0.39079,                0.23634,                 1.7601,                 2.8409,                 1.9854,               0.007129,               0.007129,               0.007129
                     31,                 1.3509,                 1.9495,                 1.5162,                0.54372,                0.37006,                 0.3807,                0.20947,                 1.7316,                 3.0174,                 1.9909,                0.00703,                0.00703,                0.00703
                     32,                 1.2959,                 1.9745,                 1.5154,                0.75167,                0.39673,                0.46036,                0.24172,                 1.7729,                 2.6042,                 2.0156,               0.006931,               0.006931,               0.006931
                     33,                 1.3373,                  1.888,                 1.5374,                0.47754,                0.41702,                0.46113,                0.24378,                 1.8414,                 2.5993,                 2.0723,               0.006832,               0.006832,               0.006832
                     34,                 1.2874,                 1.8821,                 1.4972,                0.45945,                0.37725,                0.41438,                0.24159,                  1.747,                 2.3649,                 2.0621,               0.006733,               0.006733,               0.006733
                     35,                 1.3471,                 1.9264,                 1.5563,                0.90045,                0.34906,                0.44707,                0.23948,                 1.8253,                 2.8243,                 1.9727,               0.006634,               0.006634,               0.006634
                     36,                 1.2449,                 1.7401,                 1.4658,                0.92366,                0.32242,                0.65802,                0.42144,                 1.6382,                  2.604,                   1.84,               0.006535,               0.006535,               0.006535
